id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,0,0_01,M.USER.APP.0,0,10,1,0,None,0.3,123.00004622222224,123.30004622222224,107.0,123.00004622222224
1,COMP_M,0,0_01,M.USER.APP.0,0,10,0,2,None,0.3,123.00004622222224,123.30004622222224,107.0,123.00004622222224
1,COMP_M,0,0_01,M.USER.APP.0,0,10,2,9,None,0.3,123.00004622222224,123.30004622222224,107.0,123.00004622222224
1,COMP_M,0,0_01,M.USER.APP.0,0,10,9,28,None,0.3,123.00004622222224,123.30004622222224,107.0,123.00004622222224
1,COMP_M,0,0_02,0_(0-2),10,11,28,28,0_01,0.3,123.30004622222224,123.60004622222223,123.30004622222224,123.30004622222224
1,COMP_M,0,0_03,0_(0-3),11,12,28,9,0_02,0.3,124.60007622222223,124.90007622222222,123.60004622222223,124.60007622222223
1,COMP_M,0,0_04,0_(0-4),12,13,9,9,0_03,0.3,124.90007622222222,125.20007622222222,124.90007622222222,124.90007622222222
2,COMP_M,1,1_01,M.USER.APP.1,1,16,2,0,None,0.3,125.00003555555557,125.30003555555557,107.0,125.00003555555557
2,COMP_M,1,1_01,M.USER.APP.1,1,16,0,3,None,0.3,125.00003555555557,125.30003555555557,107.0,125.00003555555557
2,COMP_M,1,1_01,M.USER.APP.1,1,16,3,10,None,0.3,125.00003555555557,125.30003555555557,107.0,125.00003555555557
2,COMP_M,1,1_01,M.USER.APP.1,1,16,10,32,None,0.3,125.00003555555557,125.30003555555557,107.0,125.00003555555557
1,COMP_M,0,0_05,0_(0-5),13,14,9,9,0_04,0.3,125.20007622222222,125.50007622222222,125.20007622222222,125.20007622222222
2,COMP_M,1,1_02,1_(0-2),16,17,32,32,1_01,0.3,125.30003555555557,125.60003555555556,125.30003555555557,125.30003555555557
1,COMP_M,0,0_06,0_(0-6),14,15,9,9,0_05,0.3,125.50007622222222,125.80007622222222,125.50007622222222,125.50007622222222
2,COMP_M,1,1_03,1_(0-3),17,18,32,32,1_02,0.3,125.60003555555556,125.90003555555556,125.60003555555556,125.60003555555556
2,COMP_M,1,1_04,1_(0-4),18,19,32,32,1_03,0.3,125.90003555555556,126.20003555555556,125.90003555555556,125.90003555555556
2,COMP_M,1,1_05,1_(0-5),19,20,32,32,1_04,0.3,126.20003555555556,126.50003555555556,126.20003555555556,126.20003555555556
2,COMP_M,1,1_06,1_(0-6),20,21,32,32,1_05,0.3,126.50003555555556,126.80003555555555,126.50003555555556,126.50003555555556
8,COMP_M,7,7_01,M.USER.APP.7,7,52,8,2,None,0.3,277.0000125,277.30001250000004,269.0,277.0000125
8,COMP_M,7,7_02,7_(0-2),52,53,2,2,7_01,0.3,277.30001250000004,277.60001250000005,277.30001250000004,277.30001250000004
8,COMP_M,7,7_03,7_(0-3),53,54,2,2,7_02,0.3,277.60001250000005,277.90001250000006,277.60001250000005,277.60001250000005
8,COMP_M,7,7_04,7_(0-4),54,55,2,2,7_03,0.3,277.90001250000006,278.20001250000007,277.90001250000006,277.90001250000006
3,COMP_M,2,2_01,M.USER.APP.2,2,22,3,12,None,0.3,278.0000325,278.3000325,269.0,278.0000325
3,COMP_M,2,2_01,M.USER.APP.2,2,22,12,38,None,0.3,278.0000325,278.3000325,269.0,278.0000325
3,COMP_M,2,2_01,M.USER.APP.2,2,22,38,117,None,0.3,278.0000325,278.3000325,269.0,278.0000325
8,COMP_M,7,7_05,7_(0-5),55,56,2,2,7_04,0.3,278.20001250000007,278.5000125000001,278.20001250000007,278.20001250000007
3,COMP_M,2,2_02,2_(0-2),22,23,117,117,2_01,0.3,278.3000325,278.6000325,278.3000325,278.3000325
8,COMP_M,7,7_06,7_(0-6),56,57,2,2,7_05,0.3,278.5000125000001,278.8000125000001,278.5000125000001,278.5000125000001
3,COMP_M,2,2_03,2_(0-3),23,24,117,117,2_02,0.3,278.6000325,278.9000325,278.6000325,278.6000325
3,COMP_M,2,2_04,2_(0-4),24,25,117,117,2_03,0.3,278.9000325,279.2000325,278.9000325,278.9000325
3,COMP_M,2,2_05,2_(0-5),25,26,117,117,2_04,0.3,279.2000325,279.50003250000003,279.2000325,279.2000325
3,COMP_M,2,2_06,2_(0-6),26,27,117,117,2_05,0.3,279.50003250000003,279.80003250000004,279.50003250000003,279.50003250000003
10,COMP_M,9,9_01,M.USER.APP.9,9,64,10,3,None,0.3,290.0000239206349,290.3000239206349,269.0,290.0000239206349
10,COMP_M,9,9_01,M.USER.APP.9,9,64,3,11,None,0.3,290.0000239206349,290.3000239206349,269.0,290.0000239206349
10,COMP_M,9,9_01,M.USER.APP.9,9,64,11,34,None,0.3,290.0000239206349,290.3000239206349,269.0,290.0000239206349
10,COMP_M,9,9_01,M.USER.APP.9,9,64,34,103,None,0.3,290.0000239206349,290.3000239206349,269.0,290.0000239206349
