id,type,src,dst,app,latency,message,ctime,size,buffer,path,shiftime
1,LINK,1,0,0,7.000002857142857,M.USER.APP.0,62,20,0,"[1, 0, 3, 12, 37, 113]",0.0
2,LINK,2,0,1,5.000004,M.USER.APP.1,62,20,1,"[2, 0, 1, 4, 13, 42]",0.0
3,LINK,3,11,2,10.000003,M.USER.APP.2,62,30,2,"[3, 11, 35, 106]",0.0
4,LINK,4,1,3,5.000004,M.USER.APP.3,62,20,3,"[4, 1, 0, 2, 9, 30, 91]",0.0
5,LINK,5,1,4,4.000005,M.USER.APP.4,62,20,4,"[5, 1, 0, 3, 10, 31, 94]",0.0
6,LINK,6,20,5,3.000004,M.USER.APP.5,62,12,5,"[6, 20, 61]",0.0
6,LINK,20,61,5,2.000006,M.USER.APP.5,65.000004,12,5,"[6, 20, 61]",0.0
5,LINK,1,0,4,7.000002857142857,M.USER.APP.4,66.000005,20,5,"[5, 1, 0, 3, 10, 31, 94]",2.9999978571428585
2,LINK,0,1,1,7.000002857142857,M.USER.APP.1,67.000004,20,4,"[2, 0, 1, 4, 13, 42]",0.0
4,LINK,1,0,3,7.000002857142857,M.USER.APP.3,67.000004,20,5,"[4, 1, 0, 2, 9, 30, 91]",9.000001714285716
6,LINK,61,20,5,2.0000205,5_(0-6),68.50000999999999,41,5,"[61, 20, 6]",0.0
1,LINK,0,3,0,7.000002857142857,M.USER.APP.0,69.00000285714286,20,5,"[1, 0, 3, 12, 37, 113]",0.0
6,LINK,20,6,5,3.000013666666667,5_(0-6),70.5000305,41,5,"[61, 20, 6]",0.0
3,LINK,11,35,2,2.000015,M.USER.APP.2,72.00000299999999,30,5,"[3, 11, 35, 106]",0.0
2,LINK,1,4,1,5.000004,M.USER.APP.1,74.00000685714286,20,4,"[2, 0, 1, 4, 13, 42]",0.0
3,LINK,35,106,2,7.000004285714286,M.USER.APP.2,74.000018,30,4,"[3, 11, 35, 106]",0.0
5,LINK,0,3,4,7.000002857142857,M.USER.APP.4,76.00000571428572,20,3,"[5, 1, 0, 3, 10, 31, 94]",0.0
1,LINK,3,12,0,2.00001,M.USER.APP.0,76.00000571428572,20,4,"[1, 0, 3, 12, 37, 113]",0.0
