id,type,src,dst,app,latency,message,ctime,size,buffer,path,shiftime
1,LINK,1,3,0,8.0000025,M.USER.APP.0,107,20,0,"[1, 3, 7, 16]",0.0
2,LINK,2,5,1,5.000004,M.USER.APP.1,107,20,1,"[2, 5, 11]",0.0
2,LINK,5,11,1,8.0000025,M.USER.APP.1,112.000004,20,1,"[2, 5, 11]",0.0
1,LINK,3,7,0,1.00002,M.USER.APP.0,115.0000025,20,1,"[1, 3, 7, 16]",0.0
1,LINK,7,16,0,5.000004,M.USER.APP.0,116.0000225,20,1,"[1, 3, 7, 16]",0.0
2,LINK,11,5,1,8.000001875,1_(0-6),121.5000065,15,0,"[11, 5]",0.0
1,LINK,16,7,0,5.000006,0_(0-3),121.6000265,30,1,"[16, 7]",0.0
1,LINK,7,3,0,1.00008,0_(0-6),127.50003249999999,80,1,"[7, 3]",0.0
3,LINK,3,1,2,8.00000375,M.USER.APP.2,269,30,0,"[3, 1, 0, 2, 6, 14, 29, 59]",0.0
4,LINK,4,10,3,2.00001,M.USER.APP.3,269,20,1,"[4, 10]",0.0
5,LINK,5,2,4,5.000004,M.USER.APP.4,269,20,2,"[5, 2, 0, 1, 3, 7, 15, 31]",0.0
6,LINK,6,14,5,7.000001714285714,M.USER.APP.5,269,12,3,"[6, 14, 29]",0.0
7,LINK,7,3,6,1.000022,M.USER.APP.6,269,22,4,"[7, 3, 1, 0, 2, 5, 11]",0.0
8,LINK,8,3,7,6.000016666666666,M.USER.APP.7,269,100,5,"[8, 3, 1, 0, 2, 6, 14, 29, 60]",0.0
7,LINK,3,1,6,8.00000275,M.USER.APP.6,270.000022,22,5,"[7, 3, 1, 0, 2, 5, 11]",6.999981750000018
5,LINK,2,0,4,8.0000025,M.USER.APP.4,274.000004,20,4,"[5, 2, 0, 1, 3, 7, 15, 31]",0.0
8,LINK,3,1,7,8.0000125,M.USER.APP.7,275.0000166666667,100,4,"[8, 3, 1, 0, 2, 6, 14, 29, 60]",9.999989833333359
6,LINK,14,29,5,10.0000012,M.USER.APP.5,276.0000017142857,12,4,"[6, 14, 29]",0.0
3,LINK,1,0,2,4.0000075,M.USER.APP.2,277.00000375,30,4,"[3, 1, 0, 2, 6, 14, 29, 59]",0.0
3,LINK,0,2,2,8.00000375,M.USER.APP.2,281.00001125,30,4,"[3, 1, 0, 2, 6, 14, 29, 59]",0.0
5,LINK,0,1,4,4.000005,M.USER.APP.4,282.0000065,20,4,"[5, 2, 0, 1, 3, 7, 15, 31]",0.0
7,LINK,1,0,6,4.0000055,M.USER.APP.6,285.00000650000004,22,4,"[7, 3, 1, 0, 2, 5, 11]",0.0
5,LINK,1,3,4,8.0000025,M.USER.APP.4,286.00001149999997,20,3,"[5, 2, 0, 1, 3, 7, 15, 31]",0.0
6,LINK,29,14,5,10.000002,5_(0-3),286.6000029142857,20,4,"[29, 14]",0.0
7,LINK,0,2,6,8.00000275,M.USER.APP.6,289.000012,22,4,"[7, 3, 1, 0, 2, 5, 11]",2.999999992425728e-06
3,LINK,2,6,2,1.00003,M.USER.APP.2,289.000015,30,4,"[3, 1, 0, 2, 6, 14, 29, 59]",0.0
3,LINK,6,14,2,7.000004285714286,M.USER.APP.2,290.000045,30,4,"[3, 1, 0, 2, 6, 14, 29, 59]",0.0
8,LINK,1,0,7,4.000025,M.USER.APP.7,293.00001900000007,100,4,"[8, 3, 1, 0, 2, 6, 14, 29, 60]",0.0
5,LINK,3,7,4,1.00002,M.USER.APP.4,294.00001399999996,20,4,"[5, 2, 0, 1, 3, 7, 15, 31]",0.0
5,LINK,7,15,4,5.000004,M.USER.APP.4,295.00003399999997,20,4,"[5, 2, 0, 1, 3, 7, 15, 31]",0.0
7,LINK,2,5,6,5.0000044,M.USER.APP.6,297.00001775000004,22,3,"[7, 3, 1, 0, 2, 5, 11]",0.0
8,LINK,0,2,7,8.0000125,M.USER.APP.7,297.00004400000006,100,3,"[8, 3, 1, 0, 2, 6, 14, 29, 60]",0.0
3,LINK,14,29,2,10.000003,M.USER.APP.2,297.0000492857143,30,3,"[3, 1, 0, 2, 6, 14, 29, 59]",0.0
5,LINK,15,31,4,10.000002,M.USER.APP.4,300.00003799999996,20,3,"[5, 2, 0, 1, 3, 7, 15, 31]",0.0
7,LINK,5,11,6,8.00000275,M.USER.APP.6,302.00002215000006,22,3,"[7, 3, 1, 0, 2, 5, 11]",0.0
8,LINK,2,6,7,1.0001,M.USER.APP.7,305.0000565000001,100,3,"[8, 3, 1, 0, 2, 6, 14, 29, 60]",0.0
8,LINK,6,14,7,7.000014285714285,M.USER.APP.7,306.00015650000006,100,3,"[8, 3, 1, 0, 2, 6, 14, 29, 60]",0.0
3,LINK,29,59,2,5.000006,M.USER.APP.2,307.0000522857143,30,3,"[3, 1, 0, 2, 6, 14, 29, 59]",0.0
7,LINK,11,5,6,8.0000125,6_(0-3),310.6000249000001,100,2,"[11, 5, 2]",0.0
5,LINK,31,15,4,10.0000023,4_(0-5),311.20004,23,3,"[31, 15]",0.0
3,LINK,59,29,2,5.00006,2_(0-2),312.3000582857143,300,3,"[59, 29]",0.0
8,LINK,14,29,7,10.00001,M.USER.APP.7,313.0001707857143,100,3,"[8, 3, 1, 0, 2, 6, 14, 29, 60]",0.0
7,LINK,5,2,6,5.00002,6_(0-3),318.60003740000013,100,2,"[11, 5, 2]",0.0
8,LINK,29,60,7,5.00002,M.USER.APP.7,323.0001807857143,100,1,"[8, 3, 1, 0, 2, 6, 14, 29, 60]",0.0
8,LINK,60,29,7,5.000004,7_(0-3),328.6002007857143,20,0,"[60, 29]",0.0
9,LINK,1,3,0,8.0000025,M.USER.APP.0,361,20,0,"[1, 3, 7, 16]",0.0
10,LINK,2,5,1,5.000004,M.USER.APP.1,361,20,1,"[2, 5, 11]",0.0
11,LINK,1,3,0,8.0000025,M.USER.APP.0,362,20,2,"[1, 3, 7, 16]",7.000002499999994
12,LINK,2,5,1,5.000004,M.USER.APP.1,362,20,3,"[2, 5, 11]",4.00000399999999
10,LINK,5,11,1,8.0000025,M.USER.APP.1,366.000004,20,3,"[2, 5, 11]",0.0
9,LINK,3,7,0,1.00002,M.USER.APP.0,369.0000025,20,3,"[1, 3, 7, 16]",0.0
9,LINK,7,16,0,5.000004,M.USER.APP.0,370.0000225,20,3,"[1, 3, 7, 16]",0.0
12,LINK,5,11,1,8.0000025,M.USER.APP.1,371.000008,20,3,"[2, 5, 11]",2.999998500000004
10,LINK,11,5,1,8.000001875,1_(0-6),375.50000650000004,15,2,"[11, 5]",0.0
9,LINK,16,7,0,5.000006,0_(0-3),375.6000265,30,3,"[16, 7]",0.0
11,LINK,3,7,0,1.00002,M.USER.APP.0,377.000005,20,3,"[1, 3, 7, 16]",0.0
11,LINK,7,16,0,5.000004,M.USER.APP.0,378.000025,20,3,"[1, 3, 7, 16]",0.0
9,LINK,7,3,0,1.00008,0_(0-6),381.50003250000003,80,3,"[7, 3]",0.0
12,LINK,11,5,1,8.000001875,1_(0-6),383.50000900000003,15,0,"[11, 5]",0.0
11,LINK,16,7,0,5.000006,0_(0-3),383.600029,30,1,"[16, 7]",0.0
11,LINK,7,3,0,1.00008,0_(0-6),389.500035,80,1,"[7, 3]",0.0
