id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,55,2,7,5.000055566026667,M.USER.APP.7,107,4167452,0
1,LINK,2,100,7,1.000033339616,M.USER.APP.7,112.00005556602667,4167452,0
3,LINK,97,41,1,5.000036175413333,M.USER.APP.1,115,2713156,0
4,LINK,33,1,1,5.000036175413333,M.USER.APP.1,120,2713156,1
3,LINK,41,2,1,5.000036175413333,M.USER.APP.1,120.00003617541333,2713156,1
5,LINK,20,2,0,5.00004439524,M.USER.APP.0,123,3329643,2
6,LINK,98,2,6,5.00003632972,M.USER.APP.6,123,2724729,3
7,LINK,52,5,18,5.00003226232,M.USER.APP.18,123,2419674,4
4,LINK,1,2,1,5.000036175413333,M.USER.APP.1,125.00003617541333,2713156,4
3,LINK,2,100,1,1.000021705248,M.USER.APP.1,125.00007235082666,2713156,4
8,LINK,58,12,12,5.0000396870933335,M.USER.APP.12,126,2976532,5
9,LINK,81,2,14,5.000058506106667,M.USER.APP.14,126,4387958,6
7,LINK,5,2,18,5.00003226232,M.USER.APP.18,128.00003226232,2419674,5
6,LINK,2,100,6,1.000021797832,M.USER.APP.6,128.00003632972,2724729,5
5,LINK,2,100,0,1.000026637144,M.USER.APP.0,128.00004439524,3329643,5
4,LINK,2,100,1,1.000021705248,M.USER.APP.1,130.00007235082666,2713156,4
9,LINK,2,100,14,1.000035103664,M.USER.APP.14,131.00005850610665,4387958,2
7,LINK,2,100,18,1.000019357392,M.USER.APP.18,133.00006452463998,2419674,0
10,LINK,3,2,2,5.00003787568,M.USER.APP.2,147,2840676,0
11,LINK,67,19,11,5.000021404866667,M.USER.APP.11,148,1605365,1
12,LINK,64,3,7,5.000055566026667,M.USER.APP.7,150,4167452,2
10,LINK,2,100,2,1.000022725408,M.USER.APP.2,152.00003787568,2840676,2
11,LINK,19,2,11,5.000021404866667,M.USER.APP.11,153.00002140486666,1605365,2
12,LINK,3,2,7,5.000055566026667,M.USER.APP.7,155.00005556602667,4167452,1
11,LINK,2,100,11,1.00001284292,M.USER.APP.11,158.00004280973332,1605365,1
13,LINK,97,41,14,5.000058506106667,M.USER.APP.14,159,4387958,2
12,LINK,2,100,7,1.000033339616,M.USER.APP.7,160.00011113205335,4167452,1
2,LINK,52,5,14,5.000029359893333,14_(76-79),168.68815331010452,2201992,0
2,LINK,5,2,14,5.000029359893333,14_(76-79),173.68818266999787,2201992,0
2,LINK,2,100,14,1.000017615936,14_(76-79),178.68821202989122,2201992,0
16,LINK,96,4,11,5.000021404866667,M.USER.APP.11,192,1605365,0
17,LINK,52,5,7,5.000055566026667,M.USER.APP.7,195,4167452,1
16,LINK,4,2,11,5.000021404866667,M.USER.APP.11,197.00002140486666,1605365,1
17,LINK,5,2,7,5.000055566026667,M.USER.APP.7,200.00005556602667,4167452,1
16,LINK,2,100,11,1.00001284292,M.USER.APP.11,202.00004280973332,1605365,1
17,LINK,2,100,7,1.000033339616,M.USER.APP.7,205.00011113205335,4167452,0
14,LINK,61,16,16,5.0000242222,16_(87-88),214.71074380165288,1816665,0
14,LINK,16,5,16,5.0000242222,16_(87-88),219.7107680238529,1816665,0
21,LINK,10,0,5,5.00002130624,M.USER.APP.5,221,1597968,1
22,LINK,62,6,6,5.00003632972,M.USER.APP.6,221,2724729,2
14,LINK,5,2,16,5.0000242222,16_(87-88),224.7107922460529,1816665,2
21,LINK,0,2,5,5.00002130624,M.USER.APP.5,226.00002130624,1597968,2
24,LINK,55,2,13,5.00002695276,M.USER.APP.13,229,2021457,2
14,LINK,2,100,16,1.00001453332,16_(87-88),229.71081646825292,1816665,2
21,LINK,2,100,5,1.000012783744,M.USER.APP.5,231.00004261248,1597968,1
