id,type,src,dst,app,latency,message,ctime,size,buffer,path,shiftime
1,LINK,1,2,0,5.000000000266667,M.USER.APP.0,107,20,0,"[1, 2, 0]",0.0
2,LINK,2,0,1,5.000000000266667,M.USER.APP.1,107,20,1,"[2, 0]",0.0
1,LINK,2,0,0,5.000000000266667,M.USER.APP.0,112.00000000026667,20,0,"[1, 2, 0]",0.0
3,LINK,3,0,2,5.0000000004,M.USER.APP.2,269,30,0,"[3, 0]",0.0
4,LINK,4,2,3,5.000000000266667,M.USER.APP.3,269,20,1,"[4, 2, 0]",0.0
5,LINK,5,2,4,5.000000000266667,M.USER.APP.4,269,20,2,"[5, 2, 0]",0.0
6,LINK,6,2,5,5.00000000016,M.USER.APP.5,269,12,3,"[6, 2, 0]",0.0
7,LINK,7,2,6,5.000000000293333,M.USER.APP.6,269,22,4,"[7, 2, 0]",0.0
8,LINK,8,0,7,5.000000001333333,M.USER.APP.7,269,100,5,"[8, 0]",0.0
6,LINK,2,0,5,5.00000000016,M.USER.APP.5,274.00000000016,12,5,"[6, 2, 0]",0.0
4,LINK,2,0,3,5.000000000266667,M.USER.APP.3,274.00000000026665,20,4,"[4, 2, 0]",5.000000000053376
5,LINK,2,0,4,5.000000000266667,M.USER.APP.4,274.00000000026665,20,5,"[5, 2, 0]",10.000000000320028
7,LINK,2,0,6,5.000000000293333,M.USER.APP.6,274.0000000002933,22,5,"[7, 2, 0]",15.000000000560021
9,LINK,1,2,0,5.000000000266667,M.USER.APP.0,361,20,0,"[1, 2, 0]",0.0
10,LINK,2,0,1,5.000000000266667,M.USER.APP.1,361,20,1,"[2, 0]",0.0
11,LINK,1,2,0,5.000000000266667,M.USER.APP.0,362,20,2,"[1, 2, 0]",4.0000000002666525
12,LINK,2,0,1,5.000000000266667,M.USER.APP.1,362,20,3,"[2, 0]",4.0000000002666525
9,LINK,2,0,0,5.000000000266667,M.USER.APP.0,366.00000000026665,20,2,"[1, 2, 0]",5.0000000002666525
11,LINK,2,0,0,5.000000000266667,M.USER.APP.0,371.0000000005333,20,1,"[1, 2, 0]",5.0000000002666525
13,LINK,1,2,0,5.000000000266667,M.USER.APP.0,434,20,0,"[1, 2, 0]",0.0
14,LINK,2,0,1,5.000000000266667,M.USER.APP.1,434,20,1,"[2, 0]",0.0
13,LINK,2,0,0,5.000000000266667,M.USER.APP.0,439.00000000026665,20,0,"[1, 2, 0]",0.0
15,LINK,1,2,0,5.000000000266667,M.USER.APP.0,465,20,0,"[1, 2, 0]",0.0
16,LINK,2,0,1,5.000000000266667,M.USER.APP.1,465,20,1,"[2, 0]",0.0
15,LINK,2,0,0,5.000000000266667,M.USER.APP.0,470.00000000026665,20,0,"[1, 2, 0]",0.0
17,LINK,1,2,0,5.000000000266667,M.USER.APP.0,484,20,0,"[1, 2, 0]",0.0
18,LINK,2,0,1,5.000000000266667,M.USER.APP.1,484,20,1,"[2, 0]",0.0
17,LINK,2,0,0,5.000000000266667,M.USER.APP.0,489.00000000026665,20,0,"[1, 2, 0]",0.0
19,LINK,1,2,0,5.000000000266667,M.USER.APP.0,525,20,0,"[1, 2, 0]",0.0
20,LINK,2,0,1,5.000000000266667,M.USER.APP.1,525,20,1,"[2, 0]",0.0
19,LINK,2,0,0,5.000000000266667,M.USER.APP.0,530.0000000002667,20,0,"[1, 2, 0]",0.0
21,LINK,1,2,0,5.000000000266667,M.USER.APP.0,609,20,0,"[1, 2, 0]",0.0
22,LINK,2,0,1,5.000000000266667,M.USER.APP.1,609,20,1,"[2, 0]",0.0
21,LINK,2,0,0,5.000000000266667,M.USER.APP.0,614.0000000002667,20,0,"[1, 2, 0]",0.0
23,LINK,1,2,0,5.000000000266667,M.USER.APP.0,710,20,0,"[1, 2, 0]",0.0
24,LINK,2,0,1,5.000000000266667,M.USER.APP.1,710,20,1,"[2, 0]",0.0
23,LINK,2,0,0,5.000000000266667,M.USER.APP.0,715.0000000002667,20,0,"[1, 2, 0]",0.0
25,LINK,1,2,0,5.000000000266667,M.USER.APP.0,864,20,0,"[1, 2, 0]",0.0
26,LINK,2,0,1,5.000000000266667,M.USER.APP.1,864,20,1,"[2, 0]",0.0
25,LINK,2,0,0,5.000000000266667,M.USER.APP.0,869.0000000002667,20,0,"[1, 2, 0]",0.0
27,LINK,3,0,2,5.0000000004,M.USER.APP.2,906,30,0,"[3, 0]",0.0
28,LINK,4,2,3,5.000000000266667,M.USER.APP.3,906,20,1,"[4, 2, 0]",0.0
29,LINK,5,2,4,5.000000000266667,M.USER.APP.4,906,20,2,"[5, 2, 0]",0.0
30,LINK,6,2,5,5.00000000016,M.USER.APP.5,906,12,3,"[6, 2, 0]",0.0
31,LINK,7,2,6,5.000000000293333,M.USER.APP.6,906,22,4,"[7, 2, 0]",0.0
32,LINK,8,0,7,5.000000001333333,M.USER.APP.7,906,100,5,"[8, 0]",0.0
